,Name,Label,Editing,Model,Model_Type,Specifier,Value,Units,Temperature_Value,Temperature_Units,Value_Average,Temperature_Average,Pressure,Process,Direction_of_Measurement,Resolution,DOI,Title,Access_Type,Publisher,Publication_Year,Authors,Journal,kL_avg,composition_name
1557,CsBi4Te6,,,ThermCond,total,κ,[0.5],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[673.0],Kelvin^(1.0),0.5,673.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,0.5,CsBi4Te6
1557,CsBi4Te6,,,ThermCond,total,κ,[0.5],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[673.0],Kelvin^(1.0),0.5,673.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,0.5,CsBi4Te6
1558,K2Bi8Se13,,,ThermCond,total,κ,[0.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[673.0],Kelvin^(1.0),0.8,673.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,0.8,K2Bi8Se13
1558,K2Bi8Se13,,,ThermCond,total,κ,[0.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[673.0],Kelvin^(1.0),0.8,673.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,0.8,K2Bi8Se13
1558,K2Bi8Se13,,,ThermCond,total,κ,[0.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[673.0],Kelvin^(1.0),0.8,673.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,0.8,K2Bi8Se13
1566,Gd2Zr2O7,,,ThermCond,lattice,lattice thermal conductivity,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.8,300.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,1.8,Gd2Zr2O7
1566,Gd2Zr2O7,,,ThermCond,lattice,lattice thermal conductivity,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.8,300.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,1.8,Gd2Zr2O7
1566,Gd2Zr2O7,,,ThermCond,lattice,lattice thermal conductivity,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.8,300.0,,,,,10.1038/am.2013.15,High thermoelectric performance of oxyselenides: intrinsically low thermal conductivity of Ca-doped BiCuSeO,open,Springer,2013,"Pei Yan-Ling, He Jiaqing, Li Jing-Feng, Li Fu, Liu Qijun, Pan Wei, Barreteau Celine, Berardan David, Dragoe Nita, Zhao Li-Dong",NPG Asia Materials,1.8,Gd2Zr2O7
1577,MnSb2Se4,,,ThermCond,total,thermal conductivity,[1.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.4,300.0,,,,,10.1039/c5ra20688j,Enhancement of the thermoelectric properties of MnSb2Se4 through Cu resonant doping,payment,RSC,2015,"Shanming Li, Huaizhou Zhao, Han Zhang, Guangkun Ren, Ning Liu, Dandan Li, Chuansen Yang, Shifeng Jin, Dashan Shang, Wenhong Wang, Yuanhua Lin, Lin Gu, Xiaolong Chen, Shanming Li, Huaizhou Zhao, Han Zhang, Guangkun Ren, Ning Liu, Dandan Li, Chuansen Yang, Shifeng Jin, Dashan Shang, Wenhong Wang, Yuanhua Lin, Lin Gu, Xiaolong Chen",RSC Advances,1.4,MnSb2Se4
1577,MnSb2Se4,,,ThermCond,total,thermal conductivity,[1.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.4,300.0,,,,,10.1039/c5ra20688j,Enhancement of the thermoelectric properties of MnSb2Se4 through Cu resonant doping,payment,RSC,2015,"Shanming Li, Huaizhou Zhao, Han Zhang, Guangkun Ren, Ning Liu, Dandan Li, Chuansen Yang, Shifeng Jin, Dashan Shang, Wenhong Wang, Yuanhua Lin, Lin Gu, Xiaolong Chen, Shanming Li, Huaizhou Zhao, Han Zhang, Guangkun Ren, Ning Liu, Dandan Li, Chuansen Yang, Shifeng Jin, Dashan Shang, Wenhong Wang, Yuanhua Lin, Lin Gu, Xiaolong Chen",RSC Advances,1.4,MnSb2Se4
1579,Cu2Se,,,ThermCond,lattice,κlat,[0.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[1000.0],Kelvin^(1.0),0.4,1000.0,,,,,10.1039/c5ra20688j,Enhancement of the thermoelectric properties of MnSb2Se4 through Cu resonant doping,payment,RSC,2015,"Shanming Li, Huaizhou Zhao, Han Zhang, Guangkun Ren, Ning Liu, Dandan Li, Chuansen Yang, Shifeng Jin, Dashan Shang, Wenhong Wang, Yuanhua Lin, Lin Gu, Xiaolong Chen, Shanming Li, Huaizhou Zhao, Han Zhang, Guangkun Ren, Ning Liu, Dandan Li, Chuansen Yang, Shifeng Jin, Dashan Shang, Wenhong Wang, Yuanhua Lin, Lin Gu, Xiaolong Chen",RSC Advances,0.4,Cu2Se
1582,SS1,,,ThermCond,total,minimum thermal conductivity,[0.3],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[773.0],Kelvin^(1.0),0.3,773.0,,,,,10.1039/c8ta00608c,Independently tuning the power factor and thermal conductivity of SnSe via Ag2S addition and nanostructuring,payment,RSC,2018,"Yuanhu Zhu, Jesús Carrete, Qing-Long Meng, Zhiwei Huang, Natalio Mingo, Peng Jiang, Xinhe Bao, Yuanhu Zhu, Jesús Carrete, Qing-Long Meng, Zhiwei Huang, Natalio Mingo, Peng Jiang, Xinhe Bao",Journal of Materials Chemistry A,0.3,SS1
1585,SS1,,,ThermCond,total,thermal conductivity,[0.3],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[773.0],Kelvin^(1.0),0.3,773.0,,,,,10.1039/c8ta00608c,Independently tuning the power factor and thermal conductivity of SnSe via Ag2S addition and nanostructuring,payment,RSC,2018,"Yuanhu Zhu, Jesús Carrete, Qing-Long Meng, Zhiwei Huang, Natalio Mingo, Peng Jiang, Xinhe Bao, Yuanhu Zhu, Jesús Carrete, Qing-Long Meng, Zhiwei Huang, Natalio Mingo, Peng Jiang, Xinhe Bao",Journal of Materials Chemistry A,0.3,SS1
1590,SnO2,,,ThermCond,total,κtot,[55.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),55.0,295.0,,,c and a axes,,10.1016/j.joule.2019.03.001,A Game-Changing Strategy in SnSe Thermoelectrics ,open,Elsevier,2019,BANIK,Joule,55.0,SnO2
1593,As2Te3,,,ThermCond,total,thermal conductivities,[0.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.7000000000000001,295.0,,,,,10.1016/j.optmat.2011.01.020,"First principles investigation of electronic, optical and transport properties of α- and β-phase of arsenic telluride ",payment,Elsevier,2011,SHARMA,Optical Materials,0.7,As2Te3
1593,As2Te3,,,ThermCond,total,thermal conductivities,[0.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.7000000000000001,295.0,,,,,10.1016/j.optmat.2011.01.020,"First principles investigation of electronic, optical and transport properties of α- and β-phase of arsenic telluride ",payment,Elsevier,2011,SHARMA,Optical Materials,0.7,As2Te3
1598,SiO2,,,ThermCond,total,thermal conductivity,[1.36],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.36,295.0,,,,,10.1016/S0025-5408(00)00425-6,Fabrication and thermoelectric properties of p-type Bi0.5Sb1.5Te3 compounds by ingot extrusion ,payment,Elsevier,2000,SEO,Materials Research Bulletin,1.36,SiO2
1600,Bi2Te3,,,ThermCond,lattice,lattice thermal conductivity,[1.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.6,300.0,,,,,10.1038/srep21035,A first-principles study on the phonon transport in layered BiCuOSe,open,Springer,2016,"Shao Hezhu, Tan Xiaojian, Liu Guo-Qiang, Jiang Jun, Jiang Haochuan",Scientific Reports,1.6,Bi2Te3
1600,Bi2Te3,,,ThermCond,lattice,lattice thermal conductivity,[1.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.6,300.0,,,,,10.1038/srep21035,A first-principles study on the phonon transport in layered BiCuOSe,open,Springer,2016,"Shao Hezhu, Tan Xiaojian, Liu Guo-Qiang, Jiang Jun, Jiang Haochuan",Scientific Reports,1.6,Bi2Te3
1604,MoS2,,,ThermCond,lattice,lattice thermal conductivities,[54.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),54.0,300.0,,,armchair directions,,10.1016/B978-0-08-102687-8.00008-7,11 Thermal transport of chalcogenides ,payment,Elsevier,2020,AN,Chalcogenide,54.0,MoS2
1608,MoS2,,,ThermCond,total,thermal conductivity,[30.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),30.0,295.0,,,,,10.1016/B978-0-08-102687-8.00008-7,11 Thermal transport of chalcogenides ,payment,Elsevier,2020,AN,Chalcogenide,30.0,MoS2
1612,MoS2,,,ThermCond,total,highest thermal conductivity,[142.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),142.0,295.0,,,,,10.1016/B978-0-08-102687-8.00008-7,11 Thermal transport of chalcogenides ,payment,Elsevier,2020,AN,Chalcogenide,142.0,MoS2
1613,MoSe2,,,ThermCond,total,highest thermal conductivity,[54.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),54.0,295.0,,,,,10.1016/B978-0-08-102687-8.00008-7,11 Thermal transport of chalcogenides ,payment,Elsevier,2020,AN,Chalcogenide,54.0,MoSe2
1614,MoS2,,,ThermCond,total,thermal conductivity,[0.83],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.8300000000000001,300.0,,,,,10.1016/B978-0-08-102687-8.00008-7,11 Thermal transport of chalcogenides ,payment,Elsevier,2020,AN,Chalcogenide,0.83,MoS2
1615,Ba8Cu6Si40,,,ThermCond,total,minimum thermal conductivity,[1.26],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[720.0],Kelvin^(1.0),1.26,720.0,,,,,10.1016/j.matchemphys.2017.10.073,The effect of europium on structure and thermoelectric properties of silicon clathrates by HPHT synthesis ,payment,Elsevier,2018,LIU,Materials Chemistry and Physics,1.26,Ba8Cu6Si40
1615,Ba8Cu6Si40,,,ThermCond,total,minimum thermal conductivity,[1.26],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[720.0],Kelvin^(1.0),1.26,720.0,,,,,10.1016/j.matchemphys.2017.10.073,The effect of europium on structure and thermoelectric properties of silicon clathrates by HPHT synthesis ,payment,Elsevier,2018,LIU,Materials Chemistry and Physics,1.26,Ba8Cu6Si40
1615,Ba8Cu6Si40,,,ThermCond,total,minimum thermal conductivity,[1.26],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[720.0],Kelvin^(1.0),1.26,720.0,,,,,10.1016/j.matchemphys.2017.10.073,The effect of europium on structure and thermoelectric properties of silicon clathrates by HPHT synthesis ,payment,Elsevier,2018,LIU,Materials Chemistry and Physics,1.26,Ba8Cu6Si40
1616,Ba8Cu6Si40,,,ThermCond,total,minimum thermal conductivity,[1.26],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[720.0],Kelvin^(1.0),1.26,720.0,,,,,10.1016/j.matchemphys.2017.10.073,The effect of europium on structure and thermoelectric properties of silicon clathrates by HPHT synthesis ,payment,Elsevier,2018,LIU,Materials Chemistry and Physics,1.26,Ba8Cu6Si40
1616,Ba8Cu6Si40,,,ThermCond,total,minimum thermal conductivity,[1.26],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[720.0],Kelvin^(1.0),1.26,720.0,,,,,10.1016/j.matchemphys.2017.10.073,The effect of europium on structure and thermoelectric properties of silicon clathrates by HPHT synthesis ,payment,Elsevier,2018,LIU,Materials Chemistry and Physics,1.26,Ba8Cu6Si40
1616,Ba8Cu6Si40,,,ThermCond,total,minimum thermal conductivity,[1.26],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[720.0],Kelvin^(1.0),1.26,720.0,,,,,10.1016/j.matchemphys.2017.10.073,The effect of europium on structure and thermoelectric properties of silicon clathrates by HPHT synthesis ,payment,Elsevier,2018,LIU,Materials Chemistry and Physics,1.26,Ba8Cu6Si40
1618,TiO2,,,ThermCond,lattice,lattice thermal conductivity,[5.75],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),5.75,295.0,,,,,10.1016/j.solidstatesciences.2009.06.007,"Effects of nano-TiO2 dispersion on the thermoelectric properties offilled-skutterudite Ba0.22Co4Sb12
",payment,Elsevier,2009,XIONG,Solid State Sciences,5.75,TiO2
1619,ZrO2,,,ThermCond,total,κ,[1.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.7000000000000002,295.0,,,,,10.1016/j.solidstatesciences.2009.06.007,"Effects of nano-TiO2 dispersion on the thermoelectric properties offilled-skutterudite Ba0.22Co4Sb12
",payment,Elsevier,2009,XIONG,Solid State Sciences,1.7,ZrO2
1620,Sr2Si,,,ThermCond,total,thermal conductivity,[1.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[776.0],Kelvin^(1.0),1.0,776.0,,,,,10.1016/j.jallcom.2018.12.037,Enhanced thermoelectric figure of merit by composite effects and low thermal conductivity in distrontium silicide (Sr2Si) ,payment,Elsevier,2019,MUDASAR,Journal of Alloys and Compounds,1.0,Sr2Si
1621,Sr2Si,,,ThermCond,lattice,κlat,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.8,295.0,,,,,10.1016/j.jallcom.2018.12.037,Enhanced thermoelectric figure of merit by composite effects and low thermal conductivity in distrontium silicide (Sr2Si) ,payment,Elsevier,2019,MUDASAR,Journal of Alloys and Compounds,1.8,Sr2Si
1622,Bi2Te3,,,ThermCond,lattice,κlat,"[0.68, 0.9]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.79,295.0,,,,,10.1016/j.jallcom.2018.12.037,Enhanced thermoelectric figure of merit by composite effects and low thermal conductivity in distrontium silicide (Sr2Si) ,payment,Elsevier,2019,MUDASAR,Journal of Alloys and Compounds,0.79,Bi2Te3
1622,Bi2Te3,,,ThermCond,lattice,κlat,"[0.68, 0.9]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.79,295.0,,,,,10.1016/j.jallcom.2018.12.037,Enhanced thermoelectric figure of merit by composite effects and low thermal conductivity in distrontium silicide (Sr2Si) ,payment,Elsevier,2019,MUDASAR,Journal of Alloys and Compounds,0.79,Bi2Te3
1624,Ga2Te3,,,ThermCond,lattice,lattice thermal conductivity,[0.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.6000000000000001,300.0,,,,,10.1039/c6ta06033a,Vacancy scattering for enhancing the thermoelectric performance of CuGaTe2 solid solutions,payment,RSC,2016,"Jiawen Shen, Xinyue Zhang, Siqi Lin, Juan Li, Zhiwei Chen, Wen Li, Yanzhong Pei, Jiawen Shen, Xinyue Zhang, Siqi Lin, Juan Li, Zhiwei Chen, Wen Li, Yanzhong Pei",Journal of Materials Chemistry A,0.6,Ga2Te3
1624,Ga2Te3,,,ThermCond,lattice,lattice thermal conductivity,[0.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.6000000000000001,300.0,,,,,10.1039/c6ta06033a,Vacancy scattering for enhancing the thermoelectric performance of CuGaTe2 solid solutions,payment,RSC,2016,"Jiawen Shen, Xinyue Zhang, Siqi Lin, Juan Li, Zhiwei Chen, Wen Li, Yanzhong Pei, Jiawen Shen, Xinyue Zhang, Siqi Lin, Juan Li, Zhiwei Chen, Wen Li, Yanzhong Pei",Journal of Materials Chemistry A,0.6,Ga2Te3
1626,In5Sb5Cu,,,ThermCond,total,highest κ,[10.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),10.4,295.0,,,,,10.1016/j.cap.2011.04.044,"Cu addition and its role in thermoelectric properties and nanostructuring in the series compounds (InSb)
n
Cu
m
",payment,Elsevier,2012,CUI,Current Applied Physics,10.4,In5Sb5Cu
1626,In5Sb5Cu,,,ThermCond,total,highest κ,[10.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),10.4,295.0,,,,,10.1016/j.cap.2011.04.044,"Cu addition and its role in thermoelectric properties and nanostructuring in the series compounds (InSb)
n
Cu
m
",payment,Elsevier,2012,CUI,Current Applied Physics,10.4,In5Sb5Cu
1628,In20Sb20Cu,,,ThermCond,lattice,κL,[6.88],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[687.0],Kelvin^(1.0),6.88,687.0,,,,,10.1016/j.cap.2011.04.044,"Cu addition and its role in thermoelectric properties and nanostructuring in the series compounds (InSb)
n
Cu
m
",payment,Elsevier,2012,CUI,Current Applied Physics,6.88,In20Sb20Cu
1628,In20Sb20Cu,,,ThermCond,lattice,κL,[6.88],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[687.0],Kelvin^(1.0),6.88,687.0,,,,,10.1016/j.cap.2011.04.044,"Cu addition and its role in thermoelectric properties and nanostructuring in the series compounds (InSb)
n
Cu
m
",payment,Elsevier,2012,CUI,Current Applied Physics,6.88,In20Sb20Cu
1630,YbZn2Sb2,,,ThermCond,total,highest thermal conductivity,"[3.8, 2.4]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[700.0],Kelvin^(1.0),3.1,700.0,,,,,10.1016/j.jssc.2018.11.030,"Recent progresses on thermoelectric Zintl phases: Structures, materials and optimization ",payment,Elsevier,2019,LIU,Journal of Solid State Chemistry,3.0999999999999996,YbZn2Sb2
1630,YbZn2Sb2,,,ThermCond,total,highest thermal conductivity,"[3.8, 2.4]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[700.0],Kelvin^(1.0),3.1,700.0,,,,,10.1016/j.jssc.2018.11.030,"Recent progresses on thermoelectric Zintl phases: Structures, materials and optimization ",payment,Elsevier,2019,LIU,Journal of Solid State Chemistry,3.0999999999999996,YbZn2Sb2
1633,Cu2SnS3,,,ThermCond,lattice,κlat,[0.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[723.0],Kelvin^(1.0),0.4,723.0,,,,,10.1016/j.jallcom.2017.08.227,"Synergistic role of Ni-doping in electrical and phonon transport properties of Cu2Sn1-x
Ni
x
S3
",payment,Elsevier,2017,XU,Journal of Alloys and Compounds,0.4,Cu2SnS3
1633,Cu2SnS3,,,ThermCond,lattice,κlat,[0.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[723.0],Kelvin^(1.0),0.4,723.0,,,,,10.1016/j.jallcom.2017.08.227,"Synergistic role of Ni-doping in electrical and phonon transport properties of Cu2Sn1-x
Ni
x
S3
",payment,Elsevier,2017,XU,Journal of Alloys and Compounds,0.4,Cu2SnS3
1636,REB44Si2,,,ThermCond,total,thermal conductivity,[2.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[1000.0],Kelvin^(1.0),2.0,1000.0,,,,,10.1016/j.jallcom.2016.03.015,Incorporation of platinum atoms in a silicon-free boride of the YB50-type structure ,payment,Elsevier,2016,SOLOGUB,Journal of Alloys and Compounds,2.0,REB44Si2
1636,REB44Si2,,,ThermCond,total,thermal conductivity,[2.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[1000.0],Kelvin^(1.0),2.0,1000.0,,,,,10.1016/j.jallcom.2016.03.015,Incorporation of platinum atoms in a silicon-free boride of the YB50-type structure ,payment,Elsevier,2016,SOLOGUB,Journal of Alloys and Compounds,2.0,REB44Si2
1648,CoSb3,,,ThermCond,total,thermal conductivity,[8.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),8.0,295.0,,,,,10.1016/j.jallcom.2016.11.024,Influence of multi-walled carbon nanotubes on the thermoelectric properties of La-filled CoSb3 skutterudite composites ,payment,Elsevier,2017,CHE,Journal of Alloys and Compounds,8.0,CoSb3
1649,Bi2Se3,,,ThermCond,total,κ,[0.23],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.23,295.0,,,,,10.1016/j.physb.2020.412275,Bi2Se3-PVDF composite: A flexible thermoelectric system ,payment,Elsevier,2020,KUMAR,Physica B: Condensed Matter,0.23,Bi2Se3
1649,Bi2Se3,,,ThermCond,total,κ,[0.23],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.23,295.0,,,,,10.1016/j.physb.2020.412275,Bi2Se3-PVDF composite: A flexible thermoelectric system ,payment,Elsevier,2020,KUMAR,Physica B: Condensed Matter,0.23,Bi2Se3
1651,Bi2Se3,,,ThermCond,total,thermal conductivity,[0.23],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.23,295.0,,,,,10.1016/j.physb.2020.412275,Bi2Se3-PVDF composite: A flexible thermoelectric system ,payment,Elsevier,2020,KUMAR,Physica B: Condensed Matter,0.23,Bi2Se3
1651,Bi2Se3,,,ThermCond,total,thermal conductivity,[0.23],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.23,295.0,,,,,10.1016/j.physb.2020.412275,Bi2Se3-PVDF composite: A flexible thermoelectric system ,payment,Elsevier,2020,KUMAR,Physica B: Condensed Matter,0.23,Bi2Se3
1653,Mg3Sb2,,,ThermCond,total,thermal conductivity,[2.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),2.0,300.0,,,,,10.1016/j.physb.2010.07.014,Lattice dynamics and elastic properties of Mg3As2 and Mg3Sb2 compounds from first-principles calculations ,payment,Elsevier,2010,TANI,Physica B: Condensed Matter,2.0,Mg3Sb2
1653,Mg3Sb2,,,ThermCond,total,thermal conductivity,[2.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),2.0,300.0,,,,,10.1016/j.physb.2010.07.014,Lattice dynamics and elastic properties of Mg3As2 and Mg3Sb2 compounds from first-principles calculations ,payment,Elsevier,2010,TANI,Physica B: Condensed Matter,2.0,Mg3Sb2
1667,Al6Si2O13,,,ThermCond,total,thermal conductivities,[4.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[873.0],Kelvin^(1.0),4.2,873.0,,,,,10.1016/j.snb.2015.02.083,Thermoelectric hydrocarbon sensor in thick-film technology for on-board-diagnostics of a diesel oxidation catalyst ,payment,Elsevier,2015,WIEGARTNER,Sensors and Actuators B: Chemical,4.2,Al6Si2O13
1667,Al6Si2O13,,,ThermCond,total,thermal conductivities,[4.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[873.0],Kelvin^(1.0),4.2,873.0,,,,,10.1016/j.snb.2015.02.083,Thermoelectric hydrocarbon sensor in thick-film technology for on-board-diagnostics of a diesel oxidation catalyst ,payment,Elsevier,2015,WIEGARTNER,Sensors and Actuators B: Chemical,4.2,Al6Si2O13
1667,Al6Si2O13,,,ThermCond,total,thermal conductivities,[4.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[873.0],Kelvin^(1.0),4.2,873.0,,,,,10.1016/j.snb.2015.02.083,Thermoelectric hydrocarbon sensor in thick-film technology for on-board-diagnostics of a diesel oxidation catalyst ,payment,Elsevier,2015,WIEGARTNER,Sensors and Actuators B: Chemical,4.2,Al6Si2O13
1668,MgAl2O4,,,ThermCond,total,thermal conductivities,[8.1],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[873.0],Kelvin^(1.0),8.1,873.0,,spinel,,,10.1016/j.snb.2015.02.083,Thermoelectric hydrocarbon sensor in thick-film technology for on-board-diagnostics of a diesel oxidation catalyst ,payment,Elsevier,2015,WIEGARTNER,Sensors and Actuators B: Chemical,8.1,MgAl2O4
1668,MgAl2O4,,,ThermCond,total,thermal conductivities,[8.1],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[873.0],Kelvin^(1.0),8.1,873.0,,spinel,,,10.1016/j.snb.2015.02.083,Thermoelectric hydrocarbon sensor in thick-film technology for on-board-diagnostics of a diesel oxidation catalyst ,payment,Elsevier,2015,WIEGARTNER,Sensors and Actuators B: Chemical,8.1,MgAl2O4
1669,CT800,,,ThermCond,total,thermal conductivities,[1.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[873.0],Kelvin^(1.0),1.7000000000000002,873.0,,,,,10.1016/j.snb.2015.02.083,Thermoelectric hydrocarbon sensor in thick-film technology for on-board-diagnostics of a diesel oxidation catalyst ,payment,Elsevier,2015,WIEGARTNER,Sensors and Actuators B: Chemical,1.7,CT800
1673,Ca5Al2Sb6,,,ThermCond,lattice,lattice thermal conductivity,[0.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[850.0],Kelvin^(1.0),0.6000000000000001,850.0,,,,,10.1039/c1jm11463h,"Crystal structure, electronic structure, and thermoelectric properties of Ca5Al2Sb6",payment,RSC,2011,"Yu Li Yan, Yuan Xu Wang, Yu Li Yan, Yuan Xu Wang",Journal of Materials Chemistry,0.6,Ca5Al2Sb6
